stop_id,stop_name
416,Stratford Dr at Blue Course Dr
417,803 Stratford Dr
418,Stratford Dr at Waupelani Dr
420,N Atherton St at Arbor Way
422,Blue Course Dr at BB&T Bank
423,Northland Center Outbound
424,Northland Center Inbound
425,Blue Course Dr near Teaberry Lane
426,Blue Course Dr at Blue Course Commons
427,Havershire Blvd. at The Heights
428,Havershire Blvd. across from The Heights
429,Havershire Blvd. at Northwick (Inbound)
430,Havershire Blvd. at Northwick (Outbound)
431,Havershire Blvd. at Rushcliff (Outbound)
432,Havershire Blvd. at Rushcliff (Inbound)
433,Circleville Rd at Farmstead Lane Inbound
434,Circleville Rd at Farmstead Ln Outbound
435,Valley Vista Dr at State College Collect
459,Galen Drive at Kenley Ct
461,Amblewood Way at School Drive
463,Mount Nittany Health Toftrees
464,Galen Dr at Amblewood Way
467,Carnegie Dr at Vista Lofts
470,Valley Vista Drive at Lowes Center
471,N Atherton St at Douglas Dr
472,N Atherton St at Hawbaker Industrial Dr
473,N Atherton St at Fairwood Lane
474,N Atherton St near Fairfield Inn
475,Colonnade Blvd at Chicos
476,Colonnade Blvd at Wegmans
477,Martin St at Park Crest Lane Inbound
478,Martin St at Park Crest Lane Outbound
479,1400 Martin St at Parkcrest Terrace
480,Opposite 1400 Martin St
481,Martin Street at Herman Drive
482,1471 Martin St at Weis
484,1521 Martin St at Northland Bowl
485,Park Lane at Aaron Dr
486,Park Lane at Devonshire Dr
487,Park Lane at Cornwall Rd Inbound
488,Park Lane at Cornwall Rd Outbound
489,Park Lane at Sierra Lane
490,Park Lane at Shannon Lane
491,Park Lane at Park Forest Ave Inbound
492,Park Lane at Park Forest Ave Outbound
493,Park Forest Ave at Northbrook Greens
494,Park Forest Ave Opposite Northbrook
495,Park Forest Ave at N Atherton Outbound
496,Park Forest Ave at N Atherton Inbound
497,Trader Joes Plaza
498,1870 North Atherton Street
499,N Atherton St at Chick-Fil-A
500,N Atherton St at Colonnade Blvd
501,Middle of Oakwood Ave Outbound
502,658 Oakwood Ave
503,Vairo Blvd at Vairo Village (Upper)
504,Vairo Blvd opposite Vairo Village(Upper)
506,Vairo Blvd opposite Vairo Village(lower)
507,Vairo Blvd at Vairo Village(lower)
508,Vairo Blvd at Tremont Inbound(lower)
509,Vairo Blvd at Tremont Inbound upper
510,Vairo Blvd at Tremont Outbound
511,Vairo Blvd at The Pointe Inbound
512,Vairo Blvd at The Pointe Outbound
513,Vairo Blvd at The Bryn Inbound
516,Williamsburg Sq. - Holiday Inn/Spring Hi
517,Oakwood Ave at Texas Roadhouse
518,Middle of Oakwood Ave Inbound
519,Oakwood Ave at Benjamin Ct
520,North Atherton Place at Walmart
521,North Atherton Place at McDonalds
522,1611 North Atheron (Champs)
523,1450 N Atherton St at Hoss
524,N Atherton St at Denton Ave
525,N Atherton St at N Hills Place Inbound
526,N Atherton St at N Hills Place Outbound
527,N Atherton St at E Clinton Ave
538,W College Ave at Holly Circle Outbound
549,Science Park Rd at Pine Hall Rd
550,Science Park Rd at Torron Group
551,301 Science Park Rd (ARL West IV)
552,300 Science Park Rd (PSU Tech Support)
553,385 Science Park Rd at Accuweather
554,500 Science Park Rd at Davita
557,Science Park Rd at Sandy Dr (Wonderland)
563,University Drive ramp at The Meridian
564,E Beaver Ave at Calder Commons
565,E Beaver Ave at Beaver Hill Apts
569,Porter Rd at Medlar Field
572,EES Building WB
624,1290 Circleville Rd
625,1381 Circleville Road
682,Circleville Rd at Knob Hill Pl
700,Toftrees Avenue near Beaumanor Drive
701,Toftrees Avenue near Alma Mater Drive
703,Circleville Rd at W Park Hills Ave
705,1612 N Atherton St (KBB Realtors)
708,Circleville Rd at E Park Hills Ave
709,972 Oakwood Ave
710,Opposite 972 Oakwood Ave
711,Circleville Rd opposite W Park Hills Ave
714,Oakwood Ave at Vairo Village Comm Ctr
715,545 Oakwood Ave at State College Collect
718,Easterly Pkwy at Garner St
732,Waupelani Dr. at Briarwood Apts
745,Benner Pike at Barnes and Noble
753,East College Ave at Green Acres Lane
754,East College Avenue at Grandview Road
755,Woodledge Dr Inbound (To Campus)
756,Woodledge Dr Outbound (To Toftrees)
761,Colonnade Blvd at Kohls
768,3054 Enterprise Drive
776,Martin St at Best Buy
777,Waddle Rd at the Bryn
778,Oakwood Ave at Clearview Ave
779,Science Park Rd at Sandy Dr near CVIM
780,Blue Course Dr at Blue Course Med Ctr
788,Fox Hollow at Big Hollow
789,Fox Hollow opp Big Hollow
800,Fox Hollow opp Big Hollow
809,East College Ave at Citi Clean
813,Science Park Rd at the ARL Building
824,Oakwood Ave at State College Collective
832,Woodledge Dr at Woodledge Circle
833,Woodledge Dr opposite Woodledge Circle
839,Opposite 225 Science Park Rd (ARL Bldg)
840,1700 Old Gatesburg Rd at Blue Course Med
844,Woodledge Dr opposite Woodledge Circle
848,Blue Course Dr near West College Ave
849,1610 West College Ave (Waffle Shop)
867,The Yards at Old State
868,Blue Course Drive at Stratford Drive
873,West Deck
874,EES Building EB
880,Sams Club
882,Villas at Happy Valley
935,Windmere Drive at Scenery Court
936,501 Rolling Ridge Drive
1001,Thon Dr.
1002,513 Gerald St
1011,East Marylyn Ave at Foxdale Village
1012,E Mall Entrance on Shiloh Rd
1013,Science St. at the Ramada
2001,Westerly Pkwy at Plaza Dr
2003,S Allen St near Riviera Apts
2004,Easterly Pkwy at S Pugh St
